Model,Train Score,Train R^2,Test Score,Test R^2
TCN,0.048707094,0.9884669539117857,0.07504294799920365,0.8743339844404203
TCN_e_kan,0.051451597,0.9871188247379596,0.06494003667319405,0.9059412309307959
LSTM,0.054104965,0.9857963664191038,0.06842507202709465,0.8955384361564207
LSTM_ekan,0.047624305,0.9890284345554301,0.07500234838623802,0.8740194345422706
Transformer,0.091848366,0.9597637982696153,0.11522747277747257,0.7027966934622116
Transformer_ekan,0.0583205,0.9836574201099472,0.09829055778446058,0.7834778521476301
BiLSTM,0.054300446,0.9855989740797108,0.07752891769633587,0.8651974315943545
BiLSTM_ekan,0.057802767,0.983791418488865,0.06998401642967496,0.8902771648470633
GRU,0.048677776,0.9885419432185225,0.0712978279264105,0.8862021764854269
GRU_e_kan,0.05386536,0.9857994108558953,0.08678846714249272,0.8300686526928105



BiLSTM_ekan,0.053207703,0.9862048570916946,0.08452302059758676,0.8392290539152587
LSTM_ekan,0.05295372,0.9865225309588321,0.06851286345911631,0.8947025133032516
BiLSTM_ekan,0.055197492,0.9852012049926671,0.07396776652397469,0.8774992094204297
TCN_ekan,0.046630695,0.9893902406156814,0.06778639029256303,0.8971481976467479
Transformer,0.08086085,0.9688773076674297,0.11286756187519989,0.7150088285796006
Transformer,0.10059213,0.9518430646953562,0.08440044657346273,0.8410140537837956
LSTM,0.053697526,0.9860004816283596,0.07517570698279273,0.8735713565581762
LSTM,0.05656823,0.9845498436858277,0.06606302548802212,0.9026439471953391
LSTM,0.055256255,0.9852316695544656,0.06454917946125174,0.9071399132534202
LSTM,0.06808281,0.9777698197402938,0.07375728043892714,0.8782152216389646
LSTM,0.057716228,0.9839165837644822,0.06657639962234418,0.9010034594749176
LSTM,0.05666734,0.9845171946836766,0.07238196339034575,0.8830062483413564
LSTM_ekan,0.040786073,0.9919621965819029,0.11211615784492383,0.7204590140850899
TCN_ekan,0.04949531,0.9880043444030864,0.07511482637754281,0.8738628675080002
BiLSTM_ekan,0.05415804,0.9856642982709722,0.06544097760281614,0.9043377519645424
Transformer_ekan,0.06477807,0.9799937276493066,0.09900145992192401,0.7805976225984094
LSTM-ekan,0.0513315,0.9872695870313468,0.09469309933476448,0.7985073037547883
GRU-ekan,0.045643043,0.9898408537133692,0.06802892514980123,0.8965021173845731
